group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Static Size,Primitive Arrays,,,,1009598.0,ns,123802
Static Size,Primitive Arrays,,,,2248868.0,ns,247604
Static Size,Primitive Arrays,,,,2858044.0,ns,371406
Static Size,Primitive Arrays,,,,4213162.0,ns,495208
Static Size,Primitive Arrays,,,,4897612.0,ns,619010
Static Size,Primitive Arrays,,,,5764728.0,ns,742812
Static Size,Primitive Arrays,,,,6759607.0,ns,866614
Static Size,Primitive Arrays,,,,7866604.0,ns,990416
Static Size,Primitive Arrays,,,,8844028.0,ns,1114218
Static Size,Primitive Arrays,,,,9796051.0,ns,1238020
Static Size,Primitive Arrays,,,,10800296.0,ns,1361822
Static Size,Primitive Arrays,,,,11802949.0,ns,1485624
Static Size,Primitive Arrays,,,,12749387.0,ns,1609426
Static Size,Primitive Arrays,,,,13770813.0,ns,1733228
Static Size,Primitive Arrays,,,,14397536.0,ns,1857030
Static Size,Primitive Arrays,,,,15356738.0,ns,1980832
Static Size,Primitive Arrays,,,,16331037.0,ns,2104634
Static Size,Primitive Arrays,,,,17258957.0,ns,2228436
Static Size,Primitive Arrays,,,,18197906.0,ns,2352238
Static Size,Primitive Arrays,,,,19161578.0,ns,2476040
Static Size,Primitive Arrays,,,,20147564.0,ns,2599842
Static Size,Primitive Arrays,,,,21081962.0,ns,2723644
Static Size,Primitive Arrays,,,,22012215.0,ns,2847446
Static Size,Primitive Arrays,,,,22994525.0,ns,2971248
Static Size,Primitive Arrays,,,,23915678.0,ns,3095050
Static Size,Primitive Arrays,,,,24871414.0,ns,3218852
Static Size,Primitive Arrays,,,,25893938.0,ns,3342654
Static Size,Primitive Arrays,,,,26866735.0,ns,3466456
Static Size,Primitive Arrays,,,,27834601.0,ns,3590258
Static Size,Primitive Arrays,,,,28847489.0,ns,3714060
Static Size,Primitive Arrays,,,,29715875.0,ns,3837862
Static Size,Primitive Arrays,,,,30653863.0,ns,3961664
Static Size,Primitive Arrays,,,,33464196.0,ns,4085466
Static Size,Primitive Arrays,,,,35378838.0,ns,4209268
Static Size,Primitive Arrays,,,,34106762.0,ns,4333070
Static Size,Primitive Arrays,,,,34587034.0,ns,4456872
Static Size,Primitive Arrays,,,,35498783.0,ns,4580674
Static Size,Primitive Arrays,,,,36431915.0,ns,4704476
Static Size,Primitive Arrays,,,,37404467.0,ns,4828278
Static Size,Primitive Arrays,,,,38382997.0,ns,4952080
Static Size,Primitive Arrays,,,,39255205.0,ns,5075882
Static Size,Primitive Arrays,,,,40313672.0,ns,5199684
Static Size,Primitive Arrays,,,,41313838.0,ns,5323486
Static Size,Primitive Arrays,,,,42144577.0,ns,5447288
Static Size,Primitive Arrays,,,,43100273.0,ns,5571090
Static Size,Primitive Arrays,,,,44131221.0,ns,5694892
Static Size,Primitive Arrays,,,,45010643.0,ns,5818694
Static Size,Primitive Arrays,,,,45925999.0,ns,5942496
Static Size,Primitive Arrays,,,,47002998.0,ns,6066298
Static Size,Primitive Arrays,,,,47905715.0,ns,6190100
Static Size,Primitive Arrays,,,,48853428.0,ns,6313902
Static Size,Primitive Arrays,,,,51091980.0,ns,6437704
Static Size,Primitive Arrays,,,,50779099.0,ns,6561506
Static Size,Primitive Arrays,,,,51740080.0,ns,6685308
Static Size,Primitive Arrays,,,,52692885.0,ns,6809110
Static Size,Primitive Arrays,,,,54230948.0,ns,6932912
Static Size,Primitive Arrays,,,,58802765.0,ns,7056714
Static Size,Primitive Arrays,,,,57040296.0,ns,7180516
Static Size,Primitive Arrays,,,,56798980.0,ns,7304318
Static Size,Primitive Arrays,,,,57872332.0,ns,7428120
Static Size,Primitive Arrays,,,,59118260.0,ns,7551922
Static Size,Primitive Arrays,,,,59381975.0,ns,7675724
Static Size,Primitive Arrays,,,,60467377.0,ns,7799526
Static Size,Primitive Arrays,,,,62332277.0,ns,7923328
Static Size,Primitive Arrays,,,,64588647.0,ns,8047130
Static Size,Primitive Arrays,,,,64704696.0,ns,8170932
Static Size,Primitive Arrays,,,,64980166.0,ns,8294734
Static Size,Primitive Arrays,,,,65146632.0,ns,8418536
Static Size,Primitive Arrays,,,,66020598.0,ns,8542338
Static Size,Primitive Arrays,,,,67214681.0,ns,8666140
Static Size,Primitive Arrays,,,,68053968.0,ns,8789942
Static Size,Primitive Arrays,,,,69029257.0,ns,8913744
Static Size,Primitive Arrays,,,,75151432.0,ns,9037546
Static Size,Primitive Arrays,,,,72216621.0,ns,9161348
Static Size,Primitive Arrays,,,,71793536.0,ns,9285150
Static Size,Primitive Arrays,,,,72736865.0,ns,9408952
Static Size,Primitive Arrays,,,,73827445.0,ns,9532754
Static Size,Primitive Arrays,,,,74854256.0,ns,9656556
Static Size,Primitive Arrays,,,,77954353.0,ns,9780358
Static Size,Primitive Arrays,,,,79334566.0,ns,9904160
Static Size,Primitive Arrays,,,,79091804.0,ns,10027962
Static Size,Primitive Arrays,,,,78478452.0,ns,10151764
Static Size,Primitive Arrays,,,,79568086.0,ns,10275566
Static Size,Primitive Arrays,,,,80584788.0,ns,10399368
Static Size,Primitive Arrays,,,,81352761.0,ns,10523170
Static Size,Primitive Arrays,,,,86867635.0,ns,10646972
Static Size,Primitive Arrays,,,,83806514.0,ns,10770774
Static Size,Primitive Arrays,,,,84297490.0,ns,10894576
Static Size,Primitive Arrays,,,,86354750.0,ns,11018378
Static Size,Primitive Arrays,,,,86685834.0,ns,11142180
Static Size,Primitive Arrays,,,,87297147.0,ns,11265982
Static Size,Primitive Arrays,,,,88087172.0,ns,11389784
Static Size,Primitive Arrays,,,,89106960.0,ns,11513586
Static Size,Primitive Arrays,,,,90154111.0,ns,11637388
Static Size,Primitive Arrays,,,,90987740.0,ns,11761190
Static Size,Primitive Arrays,,,,92007225.0,ns,11884992
Static Size,Primitive Arrays,,,,98970517.0,ns,12008794
Static Size,Primitive Arrays,,,,96212583.0,ns,12132596
Static Size,Primitive Arrays,,,,95672333.0,ns,12256398
Static Size,Primitive Arrays,,,,95867684.0,ns,12380200
